DATA,PM10,NO2,"PM 2,5"
2021-06-17,20.917,12.745,13.958
2021-06-18,21.0,13.278,14.292
2021-06-19,20.792,9.43,11.667
2021-06-20,13.875,8.14,9.833
2021-06-21,14.375,11.791,6.875
2021-06-22,23.75,13.393,13.583
2021-06-23,16.5,10.821,10.333
2021-06-24,21.833,13.864,12.792
2021-06-25,19.667,11.567,11.958
2021-06-26,19.5,9.465,10.333
2021-06-27,22.125,10.555,12.417
2021-06-28,15.917,10.126,7.833
2021-06-29,21.167,11.53,11.667
2021-06-30,21.375,10.606,13.417
2021-07-01,19.292,10.322,12.0
2021-07-02,23.458,14.17,14.542
2021-07-03,24.5,18.938,14.708
2021-07-04,23.292,14.664,13.875
2021-07-05,20.5,13.868,11.5
2021-07-06,26.708,21.402,15.167
2021-07-07,25.0,13.677,13.042
2021-07-08,23.083,13.998,13.375
2021-07-09,24.0,16.82,15.958
2021-07-10,17.917,13.237,12.375
2021-07-11,21.333,11.853,13.667
2021-07-12,18.583,11.828,10.375
2021-07-13,20.292,12.217,10.333
2021-07-14,21.0,11.75,10.583
2021-07-15,21.458,9.53,9.042
2021-07-16,22.625,10.038,9.625
2021-07-17,22.75,10.268,12.458
2021-07-18,20.625,8.978,10.042
2021-07-19,23.75,13.332,11.875
2021-07-20,19.208,11.93,15.0
2021-07-21,25.583,9.712,10.667
2021-07-22,20.708,12.385,11.542
2021-07-23,21.542,12.343,12.583
2021-07-24,16.667,10.284,11.917
2021-07-25,18.667,7.918,9.667
2021-07-26,18.292,11.01,7.75
2021-07-27,17.333,10.19,8.625
2021-07-28,19.625,13.397,5.792
2021-07-29,20.542,12.576,6.375
2021-07-30,22.917,13.874,13.417
2021-07-31,18.875,9.848,13.333
2021-08-01,18.833,12.566,14.125
2021-08-02,20.042,14.52,10.792
2021-08-03,19.875,12.255,9.5
2021-08-04,19.375,13.462,9.167
2021-08-05,20.458,10.69,8.958
2021-08-06,16.167,6.128,6.958
2021-08-07,18.042,8.43,8.5
2021-08-08,14.917,10.683,8.167
2021-08-09,14.875,11.73,5.625
2021-08-10,16.917,10.232,7.708
2021-08-11,17.75,13.198,5.375
2021-08-12,33.458,21.238,17.708
2021-08-13,33.792,15.738,17.792
2021-08-14,18.792,9.894,9.542
2021-08-15,18.25,10.304,8.792
2021-08-16,24.208,13.715,10.125
2021-08-17,20.25,14.599,11.5
2021-08-18,18.833,11.564,10.583
2021-08-19,20.458,13.853,10.458
2021-08-20,17.25,10.319,8.5
2021-08-21,17.625,10.574,10.958
2021-08-22,17.833,10.785,10.708
2021-08-23,19.5,10.24,11.542
2021-08-24,19.833,14.29,10.583
2021-08-25,21.417,9.075,9.542
2021-08-26,18.125,9.212,7.625
2021-08-27,23.75,13.014,9.417
2021-08-28,19.417,9.551,9.625
2021-08-29,17.292,10.294,11.208
2021-08-30,19.833,10.177,8.958
2021-08-31,12.458,4.71,6.458
2021-09-01,12.125,5.59,7.333
2021-09-02,12.708,11.232,8.5
2021-09-03,12.208,11.048,5.875
2021-09-04,18.542,8.333,7.458
2021-09-05,15.958,8.774,6.208
2021-09-06,20.458,12.089,10.792
2021-09-07,24.042,8.691,12.0
2021-09-08,31.875,11.831,17.375
2021-09-09,30.625,13.172,14.625
2021-09-10,29.875,13.949,13.75
2021-09-11,25.167,10.775,15.75
2021-09-12,23.833,11.033,14.25
2021-09-13,34.917,14.992,19.625
2021-09-14,35.125,11.792,19.708
2021-09-15,33.375,16.09,21.042
2021-09-16,34.667,12.458,22.167
2021-09-17,30.375,10.36,15.0
2021-09-18,29.083,12.001,14.25
2021-09-19,29.625,9.657,18.417
